713242	国家电网公司输变电项目2013年第二批货物集中招标--通信设备集成及新建通信网设备项目	深圳海联讯科技股份有限公司(以下简称“公司”)于2013年5月13日发布了《重大合同中标提示性公告》(2013-028号),根据国家电网公司电子商务平台网(https://ecp.sgcc.com.cn)发布的国家电网公司输变电项目2013年第二批货物集中招标--通信设备集成及新建通信网设备中标公告,公告公司中标国家电网公司输变电项目2013年第二批货物集中招标--通信设备集成及新建通信网设备项目包1	深圳/ns/N 海联/ns/N 讯/ng/N 科技股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 于/p/N 2013/m/N 年/m/N 5/m/N 月/m/N 13/m/N 日/m/N 发布/v/N 了/ul/N 《/x/N 重大/a/N 合同/a/N 中标/n/N 提示性/n/N 公告/n/N 》/x/N (/x/N 2013/m/N -/x/N 028/m/N 号/m/N )/x/N ,/x/N 根据/p/N 国家电网/nz/N 公司/n/N 电子商务/n/N 平台/n/N 网/n/N (/x/N https/eng/N :/x/N //x/N //x/N ecp/eng/N ./m/N sgcc/eng/N ./m/N com/eng/N ./m/N cn/eng/N )/x/N 发布/v/N 的/uj/N 国家电网/nz/N 公司/n/N 输变电/l/N 项目/n/N 2013/m/N 年/m/N 第二批/m/N 货物/n/N 集中/v/N 招标/n/N -/x/N -/x/N 通信/j/N 设备/vn/N 集成/v/N 及/c/N 新建/ns/N 通信网/nt/N 设备/vn/N 中标/n/N 公告/n/N ,/x/N 公告/n/N 公司/n/N 中标/n/N 国家电网/nz/Y 公司/n/Y 输变电/l/Y 项目/n/Y 2013/m/Y 年/m/Y 第二批/m/Y 货物/n/Y 集中/v/Y 招标/n/Y -/x/Y -/x/Y 通信/j/Y 设备/vn/Y 集成/v/Y 及/c/Y 新建/ns/Y 通信网/nt/Y 设备/vn/Y 项目/n/Y 包/v/N 1/m/N
713242	国家电网公司输变电项目2013年第二批货物集中招标--通信设备集成及新建通信网设备项目	根据国家电网公司招标管理中心发来的中标通知书,确认公司为国家电网公司输变电项目2013年第二批货物集中招标--通信设备集成及新建通信网设备项目包1	根据/p/N 国家电网/nz/N 公司/n/N 招标/n/N 管理中心/n/N 发来/v/N 的/uj/N 中标/n/N 通知书/nr/N ,/x/N 确认/v/N 公司/n/N 为/p/N 国家电网/nz/Y 公司/n/Y 输变电/l/Y 项目/n/Y 2013/m/Y 年/m/Y 第二批/m/Y 货物/n/Y 集中/v/Y 招标/n/Y -/x/Y -/x/Y 通信/j/Y 设备/vn/Y 集成/v/Y 及/c/Y 新建/ns/Y 通信网/nt/Y 设备/vn/Y 项目/n/Y 包/v/N 1/m/N
1429841	高效照明产品推广项目	关于“高效照明产品推广项目”中标进展情况的公告	关于/p/N “/x/N 高效/a/Y 照明/v/Y 产品/n/Y 推广/v/Y 项目/n/Y ”/x/N 中标/n/N 进展/vn/N 情况/n/N 的/uj/N 公告/n/N
1429841	国家发展改革委、财政部关于下达财政补贴高效照明产品推广任务(第一批)的通知	2008年5月12日,本公司正式收到经国家发展改革委员会和国家财政部确认的“高效照明产品推广项目中标协议书”,并于2008年5月13日收到“国家发展改革委、财政部关于下达财政补贴高效照明产品推广任务(第一批)的通知”	2008/m/N 年/m/N 5/m/N 月/m/N 12/m/N 日/m/N ,/x/N 本/r/N 公司/n/N 正式/ad/N 收到/v/N 经/n/N 国家/n/N 发展/vn/N 改革/vn/N 委员会/n/N 和/c/N 国家财政部/nt/N 确认/v/N 的/uj/N “/x/N 高效/a/N 照明/v/N 产品/n/N 推广/v/N 项目/n/N 中标/n/N 协议书/n/N ”/x/N ,/x/N 并于/c/N 2008/m/N 年/m/N 5/m/N 月/m/N 13/m/N 日/m/N 收到/v/N “/x/N 国家/n/Y 发展/vn/Y 改革/vn/Y 委/zg/Y 、/x/Y 财政部/nt/Y 关于/p/Y 下达/v/Y 财政补贴/n/Y 高效/a/Y 照明/v/Y 产品/n/Y 推广/v/Y 任务/n/Y (/x/Y 第一批/m/Y )/x/Y 的/uj/Y 通知/v/Y ”/x/N
16244894	中国光大银行动态密码锁选型入围项目	珠海汇金科技股份有限公司(以下简称“公司”)于2017年6月1日收到受中国光大银行委托实施公开招标的中招国际招标有限公司下发的《中标通知书》(编号:TC17091ED-ZB-01),在中国光大银行动态密码锁选型入围项目(招标编号:TC17091ED)的招标中,经过评标委员会评审,确定公司中标	珠海/ns/N 汇金/n/N 科技股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 于/p/N 2017/m/N 年/m/N 6/m/N 月/m/N 1/m/N 日/m/N 收到/v/N 受/v/N 中国光大银行/nt/N 委托/n/N 实施/v/N 公开招标/n/N 的/uj/N 中招/j/N 国际/n/N 招标/n/N 有限公司/n/N 下发/v/N 的/uj/N 《/x/N 中标/n/N 通知书/nr/N 》/x/N (/x/N 编号/n/N :/x/N TC17091ED/eng/N -/x/N ZB/eng/N -/x/N 01/m/N )/x/N ,/x/N 在/p/N 中国光大银行/nt/Y 动态/n/Y 密码锁/n/Y 选型/n/Y 入围/v/Y 项目/n/Y (/x/N 招标/n/N 编号/n/N :/x/N TC17091ED/eng/N )/x/N 的/uj/N 招标/n/N 中/f/N ,/x/N 经过/p/N 评标/n/N 委员会/n/N 评审/vn/N ,/x/N 确定/v/N 公司/n/N 中标/n/N
1619856	到中民新能投资有限公司2015年度第二次光伏组件战略采购项目	到中民新能投资有限公司2015年度第二次光伏组件战略采购项目(以下简称“该项目”)的中标通知书,公司已成为该项目的中标候选人,中标金额共计人民币	到/v/Y 中民/n/Y 新能/v/Y 投资/vn/Y 有限公司/n/Y 2015/m/Y 年度/n/Y 第二次/m/Y 光伏/j/Y 组件/n/Y 战略/n/Y 采购/v/Y 项目/n/Y (/x/N 以下/f/N 简称/v/N “/x/N 该/r/N 项目/n/N ”/x/N )/x/N 的/uj/N 中标/n/N 通知书/nr/N ,/x/N 公司/n/N 已/d/N 成为/v/N 该项/r/N 目的/n/N 中标/n/N 候选人/n/N ,/x/N 中标/n/N 金额/n/N 共计/v/N 人民币/n/N
33310	永兴县工业固体废物污染环境修复技术示范项目	2012年1月10日,本公司控股子公司湖南永清环境修复有限公司(原名“湖南永清盛世环保有限公司”,以下简称“永清修复”或“乙方”)与永兴县环境保护局(以下简称“甲方”)签订了《永兴县工业固体废物污染环境修复技术示范项目承包合同》(以下简称“《承包合同》”)	2012/m/N 年/m/N 1/m/N 月/m/N 10/m/N 日/m/N ,/x/N 本/r/N 公司/n/N 控股/v/N 子公司/n/N 湖南/ns/N 永清/nr/N 环境/n/N 修复/v/N 有限公司/n/N (/x/N 原名/n/N “/x/N 湖南/ns/N 永清/nr/N 盛世/nr/N 环保/j/N 有限公司/n/N ”/x/N ,/x/N 以下/f/N 简称/v/N “/x/N 永清/nr/N 修复/v/N ”/x/N 或/c/N “/x/N 乙方/n/N ”/x/N )/x/N 与/p/N 永兴县/ns/N 环境保护局/n/N (/x/N 以下/f/N 简称/v/N “/x/N 甲方/n/N ”/x/N )/x/N 签订/v/N 了/ul/N 《/x/N 永兴县/ns/Y 工业/n/Y 固体废物/l/Y 污染环境/n/Y 修复/v/Y 技术/n/Y 示范/v/Y 项目/n/Y 承包合同/n/N 》/x/N (/x/N 以下/f/N 简称/v/N “/x/N 《/x/N 承包合同/n/N 》/x/N ”/x/N )/x/N
33310	永兴县工业固体废物污染环境修复技术示范项目	永兴县工业固体废物污染环境修复技术示范项目	永兴县/ns/Y 工业/n/Y 固体废物/l/Y 污染环境/n/Y 修复/v/Y 技术/n/Y 示范/v/Y 项目/n/Y
18760283	北海市污泥集中处置中心工程(污泥接收车间、脱水机房、消化进泥系统、沼气提纯设备间、水热单元处理间、锅炉房、变配电室)	2017年12月18日,根据“北海建设工程交易信息网”(http://www.bhcetc.com/)发布的北海市污泥集中处置中心工程(污泥接收车间、脱水机房、消化进泥系统、沼气提纯设备间、水热单元处理间、锅炉房、变配电室)中标候选人公示,确定广州普邦园林股份有限公司(以下简称“公司”)全资子公司四川深蓝环保科技有限公司(以下简称“深蓝环保”)与广西联友建设工程有限公司(联合体)为北海市污泥集中处置中心工程(污泥接收车间、脱水机房、消化进泥系统、沼气提纯设备间、水热单元处理间、锅炉房、变配电室)第一中标候选人单位,投标报价约为7,666.70万元	2017/m/N 年/m/N 12/m/N 月/m/N 18/m/N 日/m/N ,/x/N 根据/p/N “/x/N 北海/ns/N 建设工程/n/N 交易/n/N 信息网/n/N ”/x/N (/x/N http/eng/N :/x/N //x/N //x/N www/eng/N ./m/N bhcetc/eng/N ./m/N com/eng/N //x/N )/x/N 发布/v/N 的/uj/N 北海市/ns/Y 污泥/n/Y 集中/v/Y 处置/v/Y 中心/n/Y 工程/n/Y (/x/Y 污泥/n/Y 接收/v/Y 车间/n/Y 、/x/Y 脱水/v/Y 机房/n/Y 、/x/Y 消化/vn/Y 进泥/n/Y 系统/n/Y 、/x/Y 沼气/n/Y 提纯/v/Y 设备/vn/Y 间/f/Y 、/x/Y 水热/n/Y 单元/n/Y 处理/v/Y 间/f/Y 、/x/Y 锅炉房/n/Y 、/x/Y 变/v/Y 配电室/n/Y )/x/Y 中标/n/N 候选人/n/N 公示/v/N ,/x/N 确定/v/N 广州/ns/N 普邦/nr/N 园林/n/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 全资/n/N 子公司/n/N 四川/ns/N 深蓝/b/N 环保/j/N 科技/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 深蓝/b/N 环保/j/N ”/x/N )/x/N 与/p/N 广西/ns/N 联友/n/N 建设工程/n/N 有限公司/n/N (/x/N 联合体/nt/N )/x/N 为/p/N 北海市/ns/N 污泥/n/N 集中/v/N 处置/v/N 中心/n/N 工程/n/N (/x/N 污泥/n/N 接收/v/N 车间/n/N 、/x/N 脱水/v/N 机房/n/N 、/x/N 消化/vn/N 进泥/n/N 系统/n/N 、/x/N 沼气/n/N 提纯/v/N 设备/vn/N 间/f/N 、/x/N 水热/n/N 单元/n/N 处理/v/N 间/f/N 、/x/N 锅炉房/n/N 、/x/N 变/v/N 配电室/n/N )/x/N 第一/m/N 中标/n/N 候选人/n/N 单位/n/N ,/x/N 投标/n/N 报价/n/N 约/d/N 为/p/N 7/m/N ,/x/N 666.70/m/N 万元/m/N
18760283	北海市污泥集中处置中心工程(污泥接收车间、脱水机房、消化进泥系统、沼气提纯设备间、水热单元处理间、锅炉房、变配电室)	1、中标项目名称:北海市污泥集中处置中心工程(污泥接收车间、脱水机房、消化进泥系统、沼气提纯设备间、水热单元处理间、锅炉房、变配电室)	1/x/N 、/x/N 中标/n/N 项目名称/n/N :/x/N 北海市/ns/Y 污泥/n/Y 集中/v/Y 处置/v/Y 中心/n/Y 工程/n/Y (/x/Y 污泥/n/Y 接收/v/Y 车间/n/Y 、/x/Y 脱水/v/Y 机房/n/Y 、/x/Y 消化/vn/Y 进泥/n/Y 系统/n/Y 、/x/Y 沼气/n/Y 提纯/v/Y 设备/vn/Y 间/f/Y 、/x/Y 水热/n/Y 单元/n/Y 处理/v/Y 间/f/Y 、/x/Y 锅炉房/n/Y 、/x/Y 变/v/Y 配电室/n/Y )/x/Y
