18297249	近期,公司全资子公司横店集团浙江得邦公共照明有限公司(以下简称“公共照明”)与贵州省独山县影山镇人民政府委托的贵州汇福投资开发有限公司就影山镇净心谷景区中标项目正式签订了《贵州省独山县影山镇净心谷景区亮化项目设计施工总承包(EPC)合同》,上述合同总金额为人民币16798.17万元	近期/t ,/x 公司/n 全资/n 子公司/n 横店集团/n 浙江/ns 得/ud 邦/ng 公共/b 照明/v 有限公司/n (/x 以下/f 简称/v “/x 公共/b 照明/v ”/x )/x 与/p 贵州省/ns 独山县/ns 影/vn 山镇/ns 人民政府/nt 委托/n 的/uj 贵州/ns 汇福/nz 投资/vn 开发/v 有限公司/n 就/d 影/vn 山镇/ns 净心/n 谷/nr 景区/n 中标/n 项目/n 正式/ad 签订/v 了/ul 《/x 贵州省/ns 独山县/ns 影/vn 山镇/ns 净心/n 谷/nr 景区/n 亮化/v 项目/n 设计/vn 施工/vn 总/b 承包/v (/x EPC/eng )/x 合同/a 》/x ,/x 上述/b 合同/a 总金额/n 为/p 人民币/n 16798.17/m 万元/m
18297249	3、合同标的:贵州省独山县影山镇净心谷景区亮化项目设计施工总承包(EPC)	3/x 、/x 合同/a 标的/n :/x 贵州省/ns 独山县/ns 影/vn 山镇/ns 净心/n 谷/nr 景区/n 亮化/v 项目/n 设计/vn 施工/vn 总/b 承包/v (/x EPC/eng )/x
16360745	近日,福建东百集团股份有限公司(以下简称“公司”)参与了“三坊七巷南街城市生活综合体运营服务项目”的公开招租,并收到福州海峡纵横电子竞价平台运营中心发出的《电子竞价结果确认函》,确定公司为上述项目的中标单位	近日/t ,/x 福建/ns 东百/nr 集团股份/nz 有限公司/n (/x 以下/f 简称/v “/x 公司/n ”/x )/x 参与/v 了/ul “/x 三坊七巷/ns 南街/ns 城市/ns 生活/vn 综合体/n 运营/vn 服务项目/n ”/x 的/uj 公开/ad 招租/v ,/x 并/c 收到/v 福州/ns 海峡/ns 纵横/v 电子/n 竞价/vn 平台/n 运营/vn 中心/n 发出/v 的/uj 《/x 电子/n 竞价/vn 结果/n 确认函/v 》/x ,/x 确定/v 公司/n 为/p 上述/b 项目/n 的/uj 中标/n 单位/n
18849390	PPP项目的《PPP项目合同》,项目总投资约55087万元	PPP/eng 项目/n 的/uj 《/x PPP/eng 项目/n 合同/a 》/x ,/x 项目/n 总/b 投资/vn 约/d 55087/m 万元/m
18849390	经公司与济宁经济开发区城市管理局(以下简称“甲方”)友好协商,拟签订《PPP项目合同》(以下简称“本合同”),具体情况如下:	经/n 公司/n 与/p 济宁/ns 经济/n 开发区/n 城市/ns 管理局/n (/x 以下/f 简称/v “/x 甲方/n ”/x )/x 友好/a 协商/n ,/x 拟/v 签订/v 《/x PPP/eng 项目/n 合同/a 》/x (/x 以下/f 简称/v “/x 本合同/n ”/x )/x ,/x 具体情况/l 如下/t :/x
667689	2009年5月26日,公司在《中国证券报》、《证券时报》、《上海证券报》刊载了公司《重大合同公告》,披露了本公司控股子公司酒鬼酒供销有限责任公司与珠海市塔鑫酒业有限公司签署《酒鬼优级老酒购销合同》的情况	2009/m 年/m 5/m 月/m 26/m 日/m ,/x 公司/n 在/p 《/x 中国/ns 证券报/n 》/x 、/x 《/x 证券时报/n 》/x 、/x 《/x 上海/ns 证券报/n 》/x 刊载/v 了/ul 公司/n 《/x 重大/a 合同/a 公告/n 》/x ,/x 披露/v 了/ul 本/r 公司/n 控股/v 子公司/n 酒鬼/n 酒/n 供销/vn 有限责任/l 公司/n 与/p 珠海市/ns 塔鑫/nr 酒业/n 有限公司/n 签署/v 《/x 酒鬼/n 优级/b 老酒/n 购销/v 合同/a 》/x 的/uj 情况/n
667689	1、《酒鬼优级老酒购销合同》	1/x 、/x 《/x 酒鬼/n 优级/b 老酒/n 购销/v 合同/a 》/x
85231	近日公司收到与湖南省水运管理局(以下简称“甲方”)签订的《湖南省农村老旧渡船标准化改造采购及服务项目——标准渡船建造合同书》及《湖南省水运管理局标准渡船建造合同签订会备忘录》,本次合同总金额为97,500,000元整,建造标的为427艘标准渡船,现将具体情况公告如下:	近日/t 公司/n 收到/v 与/p 湖南省/ns 水运/n 管理局/n (/x 以下/f 简称/v “/x 甲方/n ”/x )/x 签订/v 的/uj 《/x 湖南省/ns 农村/n 老/a 旧/a 渡船/n 标准化/vn 改造/v 采购/v 及/c 服务项目/n —/x —/x 标准/n 渡船/n 建造/v 合同书/n 》/x 及/c 《/x 湖南省/ns 水运/n 管理局/n 标准/n 渡船/n 建造/v 合同/a 签订/v 会/v 备忘录/n 》/x ,/x 本次/r 合同/a 总金额/n 为/p 97/m ,/x 500/m ,/x 000/m 元/m 整/n ,/x 建造/v 标的/n 为/p 427/m 艘/m 标准/n 渡船/n ,/x 现/tg 将/d 具体情况/l 公告/n 如下/t :/x
85231	1、《湖南省农村老旧渡船标准化改造采购及服务项目——标准渡船建造合同书》	1/x 、/x 《/x 湖南省/ns 农村/n 老/a 旧/a 渡船/n 标准化/vn 改造/v 采购/v 及/c 服务项目/n —/x —/x 标准/n 渡船/n 建造/v 合同书/n 》/x
14672497	龙建路桥股份有限公司(以下简称“公司”)近日收到ft东省郓城县住房和城乡建设局及菏泽成和工程咨询招标代理有限公司签发的《成交通知书》,确定公司为ft东省郓城县城区道路政府与社会资本合作(PPP)项目的成交单位,项目编号:(HZCH-YCCG-160205)	龙建/nr 路桥/ns 股份/n 有限公司/n (/x 以下/f 简称/v “/x 公司/n ”/x )/x 近日/t 收到/v ft/eng 东省/ns 郓城县/ns 住房/n 和/c 城乡/n 建设局/nt 及/c 菏泽/ns 成/v 和/c 工程/n 咨询/vn 招标/n 代理/n 有限公司/n 签发/v 的/uj 《/x 成交/v 通知书/nr 》/x ,/x 确定/v 公司/n 为/p ft/eng 东省/ns 郓城县/ns 城区/n 道路/n 政府/n 与/p 社会/n 资本/n 合作/vn (/x PPP/eng )/x 项目/n 的/uj 成交/v 单位/n ,/x 项目编号/n :/x (/x HZCH/eng -/x YCCG/eng -/x 160205/m )/x
1398349	1、中材建设与塞浦路斯VISSILIKO水泥公司签订日产6000吨水泥生产线项目合同补充协议,VISSILIKO将该生产线粉磨系统交与中材建设承建	1/x 、/x 中/f 材/zg 建设/vn 与/p 塞浦路斯/ns VISSILIKO/eng 水泥公司/n 签订/v 日产/j 6000/m 吨/m 水泥/n 生产线/n 项目/n 合同/a 补充协议/n ,/x VISSILIKO/eng 将/d 该/r 生产线/n 粉磨/v 系统/n 交与/v 中/f 材/zg 建设/vn 承建/v
1398349	2、天津院与拉法基瑞安水泥有限公司签署了遵义三岔日产5000tpd水泥生产线总承包合同	2/x 、/x 天津/ns 院/n 与/p 拉法基/nr 瑞安/ns 水泥/n 有限公司/n 签署/v 了/ul 遵义/v 三岔/b 日产/j 5000/m tpd/eng 水泥/n 生产线/n 总/b 承包合同/n
566872	2011年11月3日,中工国际工程股份有限公司与斯里兰卡灌溉和水资源管理部签署了斯里兰卡延河灌溉项目商务合同,合同金额为	2011/m 年/m 11/m 月/m 3/m 日/m ,/x 中工/nt 国际/n 工程/n 股份/n 有限公司/n 与/p 斯里兰卡/nrt 灌溉/vn 和/c 水资源/n 管理部/n 签署/v 了/ul 斯里兰卡/nrt 延河/ns 灌溉/vn 项目/n 商务/n 合同/a ,/x 合同/a 金额/n 为/p
