the 0 6623
, 1 4256
of 2 3171
in 3 2519
\? 4 1691
and 5 1386
is 6 1312
to 7 1278
a 8 1224
by 9 672
first 10 671
\) 11 591
\( 12 588
on 13 558
's 14 513
for 15 503
united 16 493
at 17 471
war 18 412
states 19 396
as 20 394
british 21 376
with 22 363
german 23 347
from 24 333
an 25 301
new 26 297
wwii 27 288
his 28 281
are 29 256
germany 30 227
u 31 212
government 32 207
s 33 198
world 34 189
begins 35 182
becomes 36 181
battle 37 179
president 38 177
wwi 39 174
army 40 172
soviet 41 172
its 42 161
that 43 161
founded 44 160
york 45 153
forces 46 152
over 47 151
minister 48 151
000 49 149
troops 50 144
it 51 143
city 52 138
general 53 134
france 54 133
kingdom 55 130
after 56 130
people 57 128
which 58 124
be 59 124
american 60 123
i 61 123
against 62 122
french 63 120
south 64 120
state 65 118
union 66 117
london 67 116
republic 68 115
opens 69 111
hitler 70 111
time 71 107
day 72 107
between 73 106
d 74 106
second 75 105
into 76 105
party 77 103
prime 78 102
national 79 101
will 80 98
he 81 97
japanese 82 97
all 83 92
killing 84 90
russian 85 90
under 86 89
japan 87 88
off 88 87
1 89 87
radio 90 85
act 91 84
this 92 84
treaty 93 82
king 94 81
navy 95 80
their 96 79
empire 97 78
declares 98 78
royal 99 77
established 100 76
russia 101 76
roosevelt 102 76
later 103 74
but 104 74
fire 105 74
ottoman 106 74
italy 107 73
film 108 72
china 109 71
two 110 71
italian 111 70
attack 112 70
england 113 70
kills 114 69
one 115 69
irish 116 69
league 117 69
air 118 69
nazi 119 69
britain 120 68
hms 121 68
independence 122 67
africa 123 66
c 124 66
polish 125 66
out 126 65
military 127 64
killed 128 64
makes 129 64
force 130 64
revolution 131 63
great 132 62
north 133 62
ends 134 62
paris 135 60
her 136 60
during 137 60
international 138 59
australia 139 59
year 140 59
takes 141 59
n 142 58
last 143 58
de 144 57
washington 145 57
strike 146 57
following 147 57
near 148 56
not 149 56
officially 150 55
john 151 54
flight 152 54
held 153 54
election 154 54
3 155 54
adolf 156 54
poland 157 54
released 158 53
years 159 53
2 160 53
signed 161 52
university 162 51
foreign 163 51
submarine 164 51
was 165 51
civil 166 51
conference 167 50
law 168 50
when 169 49
football 170 49
house 171 49
austria 172 49
days 173 48
have 174 48
imperial 175 47
von 176 47
elected 177 47
canada 178 47
red 179 47
aircraft 180 47
spanish 181 47
franklin 182 47
west 183 46
sweden 184 46
california 185 46
ireland 186 46
hungary 187 46
communist 188 46
naval 189 45
george 190 45
congress 191 45
white 192 45
until 193 45
country 194 44
mexican 195 44
major 196 44
federal 197 44
take 198 43
william 199 43
women 200 43
constitution 201 43
sunk 202 43
free 203 42
station 204 42
ss 205 42
4 206 42
has 207 42
than 208 42
leader 209 42
charles 210 42
northern 211 42
or 212 42
massacre 213 42
nations 214 42
club 215 41
river 216 41
5 217 41
parliament 218 41
ii 219 41
known 220 41
